B-V	logT	BC	T
-0.35	4.7704	-4.751	58938
-0.34	4.7339	-4.655	54187
-0.33	4.6986	-4.480	49957
-0.32	4.6643	-4.261	46163
-0.31	4.6312	-4.023	42775
-0.30	4.5991	-3.779	39728
-0.29	4.5681	-3.543	36991
-0.28	4.5380	-3.317	34514
-0.27	4.5089	-3.108	32277
-0.26	4.4808	-2.915	30255
-0.25	4.4536	-2.738	28418
-0.24	4.4274	-2.577	26754
-0.23	4.4020	-2.429	25234
-0.22	4.3774	-2.292	23845
-0.21	4.3537	-2.164	22578
-0.20	4.3308	-2.045	21419
-0.19	4.3087	-1.931	20356
-0.18	4.2874	-1.823	19382
-0.17	4.2668	-1.718	18484
-0.16	4.2470	-1.617	17660
-0.15	4.2278	-1.517	16896
-0.14	4.2094	-1.420	16195
-0.13	4.1916	-1.324	15545
-0.12	4.1744	-1.230	14941
-0.11	4.1579	-1.138	14384
-0.10	4.1420	-1.047	13867
-0.09	4.1267	-0.959	13387
-0.08	4.1119	-0.873	12938
-0.07	4.0977	-0.791	12522
-0.06	4.0841	-0.711	12136
-0.05	4.0710	-0.635	11776
-0.04	4.0583	-0.562	11436
-0.03	4.0462	-0.493	11122
-0.02	4.0345	-0.428	10826
-0.01	4.0233	-0.368	10551
0.00	4.0126	-0.312	10294
0.01	4.0022	-0.260	10050
0.02	3.9923	-0.213	9824
0.03	3.9828	-0.170	9611
0.04	3.9736	-0.132	9410
0.05	3.9648	-0.099	9221
0.06	3.9564	-0.070	9044
0.07	3.9483	-0.045	8877
0.08	3.9406	-0.024	8721
0.09	3.9332	-0.007	8374
0.10	3.9261	0.006	8435
0.11	3.9192	0.015	8302
0.12	3.9127	0.021	8178
0.13	3.9064	0.024	8061
0.14	3.9034	0.028	7950
0.15	3.8947	0.030	7846
0.16 	3.8391	0.031	7746
0.17	3.8839	0.033	7654
0.18	3.8788	0.033	7564
0.19	3.8739	0.034	7479
0.20	3.8693	0.035	7401
0.21	3.8648	0.035	7324
0.22	3.8605	0.035	7252
0.23	3.8564	0.034	7184
0.24	3.8525	0.033	7120
0.23	3.8487	0.032	7058
0.26	3.8451	0.031	7000
0.27	3.8416	0.029	6943
0.28	3.8382	0.027	6889
0.29	3.8350	0.025	6839
0.30	3.8319	0.023	6790
0.31	3.8289	0.021	6743
0.32	3.8260	0.019	6698
0.33	3.8232	0.017	6655
0.34	3.8205	0.014	6614
0.35	3.8179	0.012	6575
0.36	3.8154	0.009	6537
0.37	3.8130	0.007	6501
0.38	3.8106	0.004	6465
0.39	3.8083	0.001	6431
0.40	3.8061	-0.001	6398
0.41	3.8039	-0.004	6366
0.42	3.8018	-0.007	6335
0.03	3.7997	-0.010	6305
0.44	3.7977	-0.012	6276
0.45	3.7958	-0.015	6248
0.46	3.7938	-0.018	6220
0.47	3.7919	-0.021	6192
0.48	3.7903	-0.024	6165
0.49	3.7882	-0.027	6140
0.50	3.7864	-0.030	6115
0.51	3.7846	-0.033	6089
0.52	3.7828	-0.036	6064
0.53	3.7811	-0.039	6040
0.54	3.7793	-0.043	6015
0.55	3.7776	-0.046	5992
0.56	3.7759	-0.049	5968
0.57	3.7742	-0.053	5945
0.58	3.7724	-0.056	5921
0.59	3.7707	-0.060	5897
0.60	3.7691	-0.063	5876
0.61	3.7674	-0.067	5853
0.62	3.7657	-0.071	5830
0.63	3.7640	-0.075	5807
0.64	3.7623	-0.079	5784
0.65	3.7606	-0.063	5762
0.66	3.7589	-0.087 	5739
0.67	3.7571	-0.091	5716
0.68	3.7554	-0.096	5693
0.69	3.7537	-0.100	5671
0.70	3.7520	-0.105	5649
0.71	3.7502	-0.110	5626
0.72	3.7485	-0.114	5604
0.73	3.7467	-0.119	5580
0.74	3.7450	-0.124	5559
0.75	3.7432	-0.130	5536
0.76	3.7414	-0.135	5513
0.77	3.7396	-0.141	5490
0.78	3.7378	-0.147	5467
0.79	3.7360	-0.153	5445
0.80	3.7342	-0.159	5422
0.81	3.7324	-0.165	5400
0.82	3.7305	-0.171	5376
0.83	3.7287	-0.178	5354
0.84	3.7268	-0.185	5330
0.85	3.7250	-0.191	5308
0.86	3.7231	-0.199	5285
0.87	3.7212	-0.206	5262
0.88	3.7194	-0.213	5240
0.89	3.7175	-0.221	5217
0.90	3.7156	-0.229	5195
0.91	3.7137	-0.237	5172
0.92	3.7118	-0.245	5149
0.93	3.7099	-0.254	5127
0.94	3.7080	-0.262	5105
0.95	3.7061	-0.271	5082
0.96	3.7042	-0.280	5060
0.97	3.7023	-0.289	5038
0.98	3.7004	-0.299	5016
0.99	3.6985	-0.308	4994
1.00	3.6966	-0.318	4972
1.01	3.6947	-0.328	4951
1.02	3.6928	-0.339	4929
1.03	3.6909	-0.349	4907
1.04	3.6891	-0.359	4887
1.05	3.6872	-0.370	4866
1.06	3.6853	-0.381	4845
1.07	3.6834	-0.393	4823
1.08	3.6816	-0.404	4803
1.09	3.6797	-0.416	4782
1.10	3.6779	-0.429	4763
1.11	3.6760	-0.441	4742
1.12	3.6742	-0.453	4772
1.13	3.6724	-0.466	4703
1.14	3.6705	-0.478	4682
1.15	3.6687	-0.491	4663
1.16	3.6669	-0.503	4644
1.17	3.6651	-0.516	4624
1.18	3.6633	-0.528	4605
1.19	3.6615	-0.541	4586
1.20	3.6597	-0.554	4567
1.21	3.6580	-0.566	4549
1.22	3.6562	-0.579	4531
1.23	3.6544	-0.593	4512
1.24	3.6527	-0.606	4494
1.25	3.6509	-0.619	4476
1.26	3.6492	-0.633	4458
1.27	3.6474	-0.647	4440
1.28	3.6457	-0.661	4422
1.29	3.6439	-0.675	4404
1.30	3.6422	-0.689	4387
1.31	3.6404	-0.705	4369
1.32	3.6386	-0.720	4351
1.33	3.6369	-0.735	4334
1.34	3.6351	-0.752	4316
1.35	3.6333	-0.768	4298
1.36	3.6315	-0.785	4280
1.37	3.6297	-0.802	4262
1.38	3.6279	-0.820	4245
1.39	3.6260	-0.839	4226
1.40	3.6242	-0.858	4209
1.41	3.6223	-0.878	4190
1.42	3.6204	-0.898	4172
1.43	3.6184	-0.920	4153
1.44	3.6164	-0.943	4134
1.45	3.6144	-0.966	4115
1.46	3.6124	-0.990	4096
1.47	3.6103	-1.016	4076
1.48	3.6081	-1.043	4056
1.49	3.6059	-1.072	4035
1.50	3.6037	-1.101	4015
1.51	3.6014	-1.133	3993
1.52	3.5990	-1.167	3971
1.53	3.5965	-1.203	3949
1.54	3.5940	-1.241	3926
1.55	3.5914	-1.282	3903
1.56	3.5887	-1.326	3878
1.57	3.3859	-1.372	3853
1.58	3.5831	-1.421	3829
1.59	3.3801	-1.475	3802
1.60	3.5770	-1.533	3775
1.61	3.5738	-1.595	3748
1.62	3.5705	-1.662	3719
1.63	3.5670	-1.736	3689
1.64	3.5634	-1.816	3659
1.65	3.5597	-1.901	3628
1.66	3.5558	-1.995	3595
1.67	3.5518	-2.096	3562
1.68	3.3475	-2.210	3527
1.69	3.5432	-2.329	3493
1.70	3.5386	-2.463	3456
1.71	3.5338	-2.611	3418
1.72	3.5289	-2.769	3379
1.73	3.3237	-2.947	3339
1.74	3.3183	-3.141	3298
1.75	3.3127	-3.355	3256
1.76	3.3068	-3.592	3212
1.77	3.5007	-3.853	3167
1.78	3.4943	-4.142	3121
1.79	3.4877	-4.460	3073
1.80	3.4807	-4.817	3024
