# P.J. Flower, A&A 1977
B-V	MK	Teff	logTeff	BC
-0.33	O6	39280	4.594	-3.50
-0.31	O7.5	35410	4.549	-3.25
-0.30	O8.5	33620	4.527	-3.12
-0.29	O9.5	31920	4.504	-2.99
-0.28		30310	4.482	-2.87
-0.26		27320	4.437	-2.60
-0.25		25940	4.414	-2.48
-0.23		23385	4.369	-2.22
-0.21	B1	21080	4.324	-1.97
-0.20		20015	4.301	-1.84
-0.18		18045	4.256	-1.58
-0.17	B3	17135	4.234	-1.46
-0.16		16265	4.211	-1.34
-0.12	B7	13220	4.121	-1.07
-0.11	B8	12550	4.099	-0.71
-0.08	B9	11400	4.057	-0.46
-0.05	B9.5	10545	4.023	-0.32
-0.025	A0	10000	4.000	-0.24
0.00	A1	9570	3.981	-0.19
0.05	A2	8995	3.954	-0.09
0.07		8790	3.944	-0.06
0.10	A3	8510	3.930	-0.03
0.14	A5	8205	3.914	-0.02
0.20		7800	3.892	 0.00
0.33	F1	7000	3.845	 0.01
0.43	F5	6500	3.813	-0.01
0.50		6210	3.793	-0.03
0.60		5875	3.769	-0.06
0.70	G1	5585	3.747	-0.10
0.80		5300	3.724	-0.16
0.88	G5	5085	3.706	-0.22
0.92	G6	4990	3.698	-0.26
1.04		4720	3.674	-0.37
1.16	K2	4465	3.650	-0.49
1.30		4185	3.622	-0.66
1.45	K4	3905	3.592	-0.92
1.54	K8	3750	3.574	-1.19
1.61		3500	3.544	-1.66
