# P.J. Flower, A&A 1977
B-V	MK	Teff	logTeff	BC
-0.33	O5.5	40495	4.607	-3.73
-0.31	  	37135	4.570	-3.46
-0.29	O7.5	34060	4.532	-3.20
-0.28	O9  	32615	4.513	-3.06
-0.26	  	29910	4.476	-2.79
-0.25	B0  	28640	4.457	-2.68
-0.23	  	26265	4.419	-2.40
-0.20	  	23065	4.363	-2.02
-0.18	  	21155	4.325	-1.76
-0.17	B1  	20260	4.307	-1.67
-0.16	  	19400	4.288	-1.56
-0.12	B3  	16315	4.213	-1.16
-0.11	B4  	15625	4.194	-1.05
-0.08	B5  	13720	4.137	-0.82
-0.05	B7  	12050	4.081	-0.64
-0.02	B8	10915	4.038	-0.51
0.00	B9	10255	4.011	-0.38
0.02	A0	9500	3.990	-0.25
0.05	A2	9120	3.960	-0.17
0.05	A	9120	3.960	-0.17
0.07	A4	8790	3.944	-0.10
0.10	A5	8510	3.930	0.00
0.14	A8	8205	3.914	0.09
0.20	F0	7800	3.892	0.14
0.25	F2	7400	3.732	0.13
0.33	F5	7000	3.845	0.13
0.50	F8	6210	3.793	0.08
0.60		5835	3.766	0.04
0.70	G	5525	3.743	-0.01
0.88	G2	5070	3.705	-0.12
0.92	G3	4990	3.698	-0.14
1.04	G6	4755	3.677	-0.22
1.16	G9	4530	3.656	-0.35
1.30	K2	4280	3.632	-0.46
1.45	K3	4030	3.605	-0.67
1.54	K4	3875	3.588	-0.84
1.61	K7	3750	3.574	-1.00
1.70		3500	3.544	-1.43
1.72		3250	3.512	-1.72
1.76	M4	3000	3.477	-2.50
1.80		2800	3.447	-3.36
